"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 14 03:52:48 UTC 2023","Mon Aug 14 03:53:07 UTC 2023","19383","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Mon Aug 14 03:28:07 UTC 2023","Mon Aug 14 03:28:09 UTC 2023","2567","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Mon Aug 14 03:59:34 UTC 2023","Mon Aug 14 03:59:34 UTC 2023","53","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Mon Aug 14 04:02:05 UTC 2023","Mon Aug 14 04:02:07 UTC 2023","2749","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Mon Aug 14 03:25:01 UTC 2023","Mon Aug 14 03:25:48 UTC 2023","47523","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Mon Aug 14 02:26:13 UTC 2023","Mon Aug 14 02:26:22 UTC 2023","8277","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Aug 14 03:03:28 UTC 2023","Mon Aug 14 03:03:56 UTC 2023","27992","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Mon Aug 14 02:50:00 UTC 2023","Mon Aug 14 02:50:18 UTC 2023","18176","","6. Company Account","","","","1. Validate login credentials",""
"passed","Mon Aug 14 03:08:03 UTC 2023","Mon Aug 14 03:08:04 UTC 2023","476","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Mon Aug 14 03:19:25 UTC 2023","Mon Aug 14 03:19:27 UTC 2023","1638","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Aug 14 03:27:57 UTC 2023","Mon Aug 14 03:28:00 UTC 2023","2770","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Mon Aug 14 03:59:38 UTC 2023","Mon Aug 14 04:00:20 UTC 2023","41762","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Mon Aug 14 02:30:46 UTC 2023","Mon Aug 14 02:30:54 UTC 2023","7909","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Mon Aug 14 03:03:58 UTC 2023","Mon Aug 14 03:03:59 UTC 2023","1141","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Mon Aug 14 02:51:36 UTC 2023","Mon Aug 14 02:51:37 UTC 2023","645","","6. Company Account","","","","9. Review Final Review",""
